pos_x,pos_y,pos_z,b_x_gt,b_y_gt,b_z_gt,b_total_strength_gt,throttle,b_motor_x,b_motor_y,b_motor_z,b_x_noisy,b_y_noisy,b_z_noisy,b_total_strength_noisy
82.2,50.0,25.0,2.5618733720990613e-09,0.0,-1.0375498755573588e-09,2.7640016134111257e-09,0.5534278919658453,-0.0,-0.0,5.534278919658454e-06,2.639468749318095e-08,-8.949104989210211e-08,5.535101722646639e-06,5.5358880414604166e-06
82.30000000000001,50.0,25.0,2.5372812817992974e-09,0.0,-1.0356681194899932e-09,2.7405117691221516e-09,0.551502400338041,-0.0,-0.0,5.51502400338041e-06,-1.3577344267413867e-08,-1.6351194121488772e-08,5.516584270886884e-06,5.516625211451574e-06
82.4,50.0,25.0,2.5129650884592873e-09,0.0,-1.0337283549069572e-09,2.7172758136696095e-09,0.5496082537822805,-0.0,-0.0,5.496082537822806e-06,3.596897829207816e-08,9.633766266076724e-08,5.496725566215761e-06,5.4976873922528824e-06
82.5,50.0,25.0,2.488921382378395e-09,0.0,-1.0317323679089926e-09,2.694290505244651e-09,0.5477457514062635,-0.0,-0.0,5.477457514062634e-06,-2.0031911931910152e-10,3.819191732320227e-08,5.478909236934998e-06,5.479042351474225e-06
82.60000000000001,50.0,25.0,2.4651467972743867e-09,0.0,-1.0296819028615224e-09,2.6715526484036754e-09,0.545915187320704,-0.0,-0.0,5.459151873207041e-06,5.408009594738963e-08,1.866823770839483e-08,5.460428862690902e-06,5.460728570839671e-06
82.7,50.0,25.0,2.441638009780521e-09,0.0,-1.0275786633210868e-09,2.6490590933608363e-09,0.5441168505928932,-0.0,-0.0,5.441168505928933e-06,-3.319951215869409e-08,-2.0169477140978523e-08,5.442583313252147e-06,5.442721941924503e-06
82.80000000000001,50.0,25.0,2.418391738945595e-09,0.0,-1.02542431294154e-09,2.6268067352913363e-09,0.5423510252010467,-0.0,-0.0,5.423510252010468e-06,1.228821523274337e-09,-6.100479897652537e-09,5.425053482812062e-06,5.42505705197914e-06
82.9,50.0,25.0,2.3954047457371434e-09,0.0,-1.023220476360437e-09,2.6047925136454357e-09,0.5406179899894643,-0.0,-0.0,5.406179899894644e-06,-2.5012234821483162e-08,5.174650126579345e-08,5.407412828954583e-06,5.407718263281347e-06
83.0,50.0,25.0,2.3726738325478116e-09,0.0,-1.0209687400660283e-09,2.5830134114729513e-09,0.5389180186244961,-0.0,-0.0,5.389180186244962e-06,5.022532689367442e-08,-1.4441062048647402e-08,5.390454835879959e-06,5.390708159917053e-06
83.10000000000001,50.0,25.0,2.3501958427051028e-09,0.0,-1.0186706532452789e-09,2.5614664547581943e-09,0.537251379551327,-0.0,-0.0,5.372513795513269e-06,3.4817894649506664e-08,-1.144378341343281e-07,5.372687719693447e-06,5.3740191325500455e-06
83.2,50.0,25.0,2.3279676599845103e-09,0.0,-1.0163277286133183e-09,2.5401487117651327e-09,0.535618335951587,-0.0,-0.0,5.356183359515871e-06,5.818034380025481e-09,-1.3012470234093583e-09,5.357682712661755e-06,5.357686029651465e-06
